prefcode,prefname,prefname_kn
011000,宗谷地方,そうやちほう
012010,上川地方,かみかわちほう
012020,留萌地方,るもいちほう
013000,網走・北見・紋別地方,あばしりきたみもんべつちほう
014010,根室地方,ねむろちほう
014020,釧路地方,くしろちほう
014030,十勝地方,とかちちほう
015010,胆振地方,いぶりちほう
015020,日高地方,ひだかちほう
016010,石狩地方,いしかりちほう
016020,空知地方,そらちちほう
016030,後志地方,しりべしちほう
017010,渡島地方,おしまちほう
017020,檜山地方,ひやまちほう
020000,青森県,あおもりけん
030000,岩手県,いわてけん
040000,宮城県,みやぎけん
050000,秋田県,あきたけん
060000,山形県,やまがたけん
070000,福島県,ふくしまけん
080000,茨城県,いばらきけん
090000,栃木県,とちぎけん
100000,群馬県,ぐんまけん
110000,埼玉県,さいたまけん
120000,千葉県,ちばけん
130000,東京都,とうきょうと
140000,神奈川県,かながわけん
150000,新潟県,にいがたけん
160000,富山県,とやまけん
170000,石川県,いしかわけん
180000,福井県,ふくいけん
190000,山梨県,やまなしけん
200000,長野県,ながのけん
210000,岐阜県,ぎふけん
220000,静岡県,しずおかけん
230000,愛知県,あいちけん
240000,三重県,みえけん
250000,滋賀県,しがけん
260000,京都府,きょうとふ
270000,大阪府,おおさかふ
280000,兵庫県,ひょうごけん
290000,奈良県,ならけん
300000,和歌山県,わかやまけん
310000,鳥取県,とっとりけん
320000,島根県,しまねけん
330000,岡山県,おかやまけん
340000,広島県,ひろしまけん
350000,山口県,やまぐちけん
360000,徳島県,とくしまけん
370000,香川県,かがわけん
380000,愛媛県,えひめけん
390000,高知県,こうちけん
400000,福岡県,ふくおかけん
410000,佐賀県,さがけん
420000,長崎県,ながさきけん
430000,熊本県,くまもとけん
440000,大分県,おおいたけん
450000,宮崎県,みやざきけん
460100,鹿児島県（奄美地方除く）,かごしまけんあまみちほうのぞく
460040,奄美地方,あまみちほう
471000,沖縄本島地方,おきなわほんとうちほう
472000,大東島地方,だいとうじまちほう
473000,宮古島地方,みやこじまちほう
474000,八重山地方,やえやまちほう
